humanRL_gym_ple/dqn_ple.py:131: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:159: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  217 | Ep_r:  1.0 | Steps:  12 | Total Steps:  7082 | Ep_Loss: 1.6554
Ep:  218 | Ep_r:  0.0 | Steps:  12 | Total Steps:  7095 | Ep_Loss: 1.8914
Ep:  219 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7101 | Ep_Loss: 0.8259
Ep:  220 | Ep_r:  0.0 | Steps:  22 | Total Steps:  7124 | Ep_Loss: 3.0013
Ep:  221 | Ep_r:  0.0 | Steps:  23 | Total Steps:  7148 | Ep_Loss: 3.7738
Ep:  222 | Ep_r:  0.0 | Steps:  11 | Total Steps:  7160 | Ep_Loss: 1.6978
Ep:  223 | Ep_r:  1.0 | Steps:  23 | Total Steps:  7184 | Ep_Loss: 3.2132
Ep:  224 | Ep_r:  1.0 | Steps:  13 | Total Steps:  7198 | Ep_Loss: 2.0197
Ep:  225 | Ep_r:  1.0 | Steps:  48 | Total Steps:  7247 | Ep_Loss: 6.8758
Ep:  226 | Ep_r:  1.0 | Steps:  34 | Total Steps:  7282 | Ep_Loss: 4.6298
Ep:  227 | Ep_r:  0.0 | Steps:  22 | Total Steps:  7305 | Ep_Loss: 3.1242
Ep:  228 | Ep_r:  1.0 | Steps:  10 | Total Steps:  7316 | Ep_Loss: 1.5928
Ep:  229 | Ep_r:  0.0 | Steps:  15 | Total Steps:  7332 | Ep_Loss: 2.5227
Ep:  230 | Ep_r:  0.0 | Steps:  27 | Total Steps:  7360 | Ep_Loss: 3.9651
